date_id,day,month,year,quarter,day_of_week,week_number,is_weekend,is_holiday
20171113,13,11,2017,4,Monday,46,0,0
20171112,12,11,2017,4,Sunday,45,1,0
20171111,11,11,2017,4,Saturday,45,1,0
20171110,10,11,2017,4,Friday,45,0,0
20171109,9,11,2017,4,Thursday,45,0,0
20171108,8,11,2017,4,Wednesday,45,0,0
20171107,7,11,2017,4,Tuesday,45,0,0
20171106,6,11,2017,4,Monday,45,0,0
20171105,5,11,2017,4,Sunday,44,1,0
20171104,4,11,2017,4,Saturday,44,1,0
20171103,3,11,2017,4,Friday,44,0,0
20171102,2,11,2017,4,Thursday,44,0,0
20171101,1,11,2017,4,Wednesday,44,0,0
20171031,31,10,2017,4,Tuesday,44,0,0
20171030,30,10,2017,4,Monday,44,0,0
20171029,29,10,2017,4,Sunday,43,1,0
20171028,28,10,2017,4,Saturday,43,1,0
20171027,27,10,2017,4,Friday,43,0,0
20171026,26,10,2017,4,Thursday,43,0,0
20171025,25,10,2017,4,Wednesday,43,0,0
20171024,24,10,2017,4,Tuesday,43,0,0
20171023,23,10,2017,4,Monday,43,0,0
20171022,22,10,2017,4,Sunday,42,1,0
20171021,21,10,2017,4,Saturday,42,1,0
20171020,20,10,2017,4,Friday,42,0,0
20171019,19,10,2017,4,Thursday,42,0,0
20171018,18,10,2017,4,Wednesday,42,0,0
20171017,17,10,2017,4,Tuesday,42,0,0
20171016,16,10,2017,4,Monday,42,0,0
20171015,15,10,2017,4,Sunday,41,1,0
20171014,14,10,2017,4,Saturday,41,1,0
20171013,13,10,2017,4,Friday,41,0,0
20171012,12,10,2017,4,Thursday,41,0,0
20171011,11,10,2017,4,Wednesday,41,0,0
20171010,10,10,2017,4,Tuesday,41,0,0
20171009,9,10,2017,4,Monday,41,0,0
20171008,8,10,2017,4,Sunday,40,1,0
20171007,7,10,2017,4,Saturday,40,1,0
20171006,6,10,2017,4,Friday,40,0,0
20171005,5,10,2017,4,Thursday,40,0,0
20171004,4,10,2017,4,Wednesday,40,0,0
20171003,3,10,2017,4,Tuesday,40,0,0
20171002,2,10,2017,4,Monday,40,0,0
20171001,1,10,2017,4,Sunday,39,1,0
20170930,30,9,2017,3,Saturday,39,1,0
20170929,29,9,2017,3,Friday,39,0,0
20170928,28,9,2017,3,Thursday,39,0,0
20170927,27,9,2017,3,Wednesday,39,0,0
20170926,26,9,2017,3,Tuesday,39,0,0
20170925,25,9,2017,3,Monday,39,0,0
20170924,24,9,2017,3,Sunday,38,1,0
20170923,23,9,2017,3,Saturday,38,1,0
20170922,22,9,2017,3,Friday,38,0,0
20170921,21,9,2017,3,Thursday,38,0,0
20170920,20,9,2017,3,Wednesday,38,0,0
20170919,19,9,2017,3,Tuesday,38,0,0
20170918,18,9,2017,3,Monday,38,0,0
20170917,17,9,2017,3,Sunday,37,1,0
20170916,16,9,2017,3,Saturday,37,1,0
20170915,15,9,2017,3,Friday,37,0,0
20170914,14,9,2017,3,Thursday,37,0,0
20170913,13,9,2017,3,Wednesday,37,0,0
20170912,12,9,2017,3,Tuesday,37,0,0
20170911,11,9,2017,3,Monday,37,0,0
20170910,10,9,2017,3,Sunday,36,1,0
20170909,9,9,2017,3,Saturday,36,1,0
20170908,8,9,2017,3,Friday,36,0,0
20170907,7,9,2017,3,Thursday,36,0,0
20170906,6,9,2017,3,Wednesday,36,0,0
20170905,5,9,2017,3,Tuesday,36,0,0
20170904,4,9,2017,3,Monday,36,0,0
20170903,3,9,2017,3,Sunday,35,1,0
20170902,2,9,2017,3,Saturday,35,1,0
20170901,1,9,2017,3,Friday,35,0,0
20170831,31,8,2017,3,Thursday,35,0,0
20170830,30,8,2017,3,Wednesday,35,0,0
20170829,29,8,2017,3,Tuesday,35,0,0
20170828,28,8,2017,3,Monday,35,0,0
20170827,27,8,2017,3,Sunday,34,1,0
20170826,26,8,2017,3,Saturday,34,1,0
20170825,25,8,2017,3,Friday,34,0,0
20170824,24,8,2017,3,Thursday,34,0,0
20170823,23,8,2017,3,Wednesday,34,0,0
20170822,22,8,2017,3,Tuesday,34,0,0
20170821,21,8,2017,3,Monday,34,0,0
20170820,20,8,2017,3,Sunday,33,1,0
20170819,19,8,2017,3,Saturday,33,1,0
20170818,18,8,2017,3,Friday,33,0,0
20170817,17,8,2017,3,Thursday,33,0,0
20170816,16,8,2017,3,Wednesday,33,0,0
20170815,15,8,2017,3,Tuesday,33,0,0
20170814,14,8,2017,3,Monday,33,0,0
20170813,13,8,2017,3,Sunday,32,1,0
20170812,12,8,2017,3,Saturday,32,1,0
20170811,11,8,2017,3,Friday,32,0,0
20170810,10,8,2017,3,Thursday,32,0,0
20170809,9,8,2017,3,Wednesday,32,0,0
20170808,8,8,2017,3,Tuesday,32,0,0
20170807,7,8,2017,3,Monday,32,0,0
20170806,6,8,2017,3,Sunday,31,1,0
20170805,5,8,2017,3,Saturday,31,1,0
20170804,4,8,2017,3,Friday,31,0,0
20170803,3,8,2017,3,Thursday,31,0,0
20170802,2,8,2017,3,Wednesday,31,0,0
20170801,1,8,2017,3,Tuesday,31,0,0
20170731,31,7,2017,3,Monday,31,0,0
20170730,30,7,2017,3,Sunday,30,1,0
20170729,29,7,2017,3,Saturday,30,1,0
20170728,28,7,2017,3,Friday,30,0,0
20170727,27,7,2017,3,Thursday,30,0,0
20170726,26,7,2017,3,Wednesday,30,0,0
20170725,25,7,2017,3,Tuesday,30,0,0
20170724,24,7,2017,3,Monday,30,0,0
20170723,23,7,2017,3,Sunday,29,1,0
